GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
omf-search-service,com.omfsearchservice.exception,InvalidTokenException,3,4,0,0,2,2,1,1,1,1
omf-search-service,com.omfsearchservice.exception,RestaurantBadRequestException,3,4,0,0,2,2,1,1,1,1
omf-search-service,com.omfsearchservice.exception,MenuNotSavedException,3,4,0,0,2,2,1,1,1,1
omf-search-service,com.omfsearchservice.exception,UnauthorizedException,3,4,0,0,2,2,1,1,1,1
omf-search-service,com.omfsearchservice.exception,ItemNotFoundException,3,4,0,0,2,2,1,1,1,1
omf-search-service,com.omfsearchservice.exception,CustomGlobalExceptionHandler,13,24,0,0,2,4,2,4,2,4
omf-search-service,com.omfsearchservice.exception,RestaurantNotFoundException,3,4,0,0,2,2,1,1,1,1
omf-search-service,com.omfsearchservice.controller,JwtAuthenticationController,0,23,0,0,0,8,0,3,0,3
omf-search-service,com.omfsearchservice.controller,RestaurantController,0,281,3,35,0,81,3,26,0,10
omf-search-service,com.omfsearchservice.controller,MenuItemController,0,64,0,2,0,21,0,6,0,5
omf-search-service,com.omfsearchservice,OmfSearchServiceApplication,5,30,0,0,2,5,1,2,1,2
omf-search-service,com.omfsearchservice.model,Menu,0,43,0,0,0,18,0,10,0,10
omf-search-service,com.omfsearchservice.model,Restaurant,0,63,0,0,0,26,0,14,0,14
omf-search-service,com.omfsearchservice.model,MenuItem,0,53,0,0,0,22,0,12,0,12
omf-search-service,com.omfsearchservice.dto,RestaurantResponseDto,0,36,0,0,0,15,0,8,0,8
omf-search-service,com.omfsearchservice.dto,ItemRequestDto,0,31,0,0,0,13,0,9,0,9
omf-search-service,com.omfsearchservice.dto,RestaurantRequestDto,0,52,0,0,0,22,0,15,0,15
omf-search-service,com.omfsearchservice.dto,UserDto,0,17,0,0,0,7,0,5,0,5
omf-search-service,com.omfsearchservice.service,RestaurantServiceImpl,14,342,2,6,2,55,2,13,0,11
omf-search-service,com.omfsearchservice.service,MenuItemServiceImpl,1,157,1,9,1,31,1,10,0,6
omf-search-service,com.omfsearchservice.service,MenuServiceImpl,0,32,0,0,0,8,0,5,0,5
omf-search-service,com.omfsearchservice.authenticationservice,JwtAuthenticationService,0,58,0,4,0,10,0,5,0,3
omf-search-service,com.omfsearchservice.config,SwaggerConfiguration,0,20,0,0,0,9,0,3,0,3
omf-search-service,com.omfsearchservice.config,JwtFilter,13,53,3,3,3,14,3,2,0,2
